Name,Latitude,Longitude
SIMEULUE,2.538334695,96.03821166
ACEH SINGKIL,2.306914991,97.63714087
ACEH SELATAN,3.07000891,97.42419225
ACEH TENGGARA,3.338028518,97.6174846
ACEH TIMUR,4.702812329,97.63923732
ACEH TENGAH,4.562509807,96.81486616
ACEH BARAT,4.452141261,96.18566835
ACEH BESAR,5.408666417,95.42596611
PIDIE,5.11324997,96.08678038
BIREUEN,5.083563569,96.62444308
ACEH UTARA,4.993599702,97.15068853
ACEH BARAT DAYA,3.835734848,96.86725678
GAYO LUES,3.981048735,97.32352658
ACEH TAMIANG,4.203799347,98.0009834
NAGAN RAYA,4.175926497,96.50561405
ACEH JAYA,4.81081781,95.66654794
BENER MERIAH,4.774793865,96.99239331
PIDIE JAYA,5.1047825,96.19521499
BANDA ACEH,5.561845279,95.32870232
SABANG,5.92434935,95.24557395
LANGSA,4.484775789,97.98157982
LHOKSEUMAWE,5.162017403,97.10268009
SUBULUSSALAM,2.756137638,97.94166917
NIAS,1.084309412,97.7301026
MANDAILING NATAL,0.779604872,99.39062584
TAPANULI SELATAN,1.551068315,99.17802047
TAPANULI TENGAH,1.867809653,98.59615994
TAPANULI UTARA,2.01124917,99.06877958
TOBA SAMOSIR,2.385582493,99.24665091
LABUHAN BATU,2.270234263,100.0132303
ASAHAN,2.846891538,99.53304576
SIMALUNGUN,2.95061252,99.04925479
DAIRI,2.835384095,98.25439598
KARO,3.099625651,98.24972607
DELI SERDANG,3.479872059,98.70710239
LANGKAT,3.760212231,98.23257395
NIAS SELATAN,0.197995312,98.23361465
HUMBANG HASUNDUTAN,2.238298324,98.6071292
PAKPAK BHARAT,2.530277854,98.26852589
SAMOSIR,2.55513449,98.69677777
SERDANG BEDAGAI,3.349220352,99.03144271
BATU BARA,3.229671118,99.48000846
PADANG LAWAS UTARA,1.636409269,99.84554289
PADANG LAWAS,1.156542242,99.80147545
LABUHAN BATU SELATAN,1.833774694,100.0604973
LABUHAN BATU UTARA,2.42556931,99.73422854
NIAS UTARA,1.310157036,97.29016824
NIAS BARAT,0.982316635,97.4579684
SIBOLGA,1.730832272,98.7840603
TANJUNG BALAI,2.972788337,99.79539972
PEMATANG SIANTAR,2.954586129,99.06349379
TEBING TINGGI,3.32806684,99.15412644
MEDAN,3.642366903,98.66949371
BINJAI,3.600217556,98.48872309
PADANGSIDIMPUAN,1.38685541,99.28581385
GUNUNGSITOLI,1.252034722,97.58045131
KEPULAUAN MENTAWAI,-2.461075141,99.82539521
PESISIR SELATAN,-1.717765017,100.7904539
SOLOK,-0.927533803,100.837884
SIJUNJUNG,-0.648735932,101.1429174
TANAH DATAR,-0.469818502,100.5827982
PADANG PARIAMAN,-0.566716012,100.209847
AGAM,-0.253182656,100.1537571
LIMA PULUH KOTA,0.029069939,100.5559277
PASAMAN,0.399888629,100.0474543
SOLOK SELATAN,-1.364471316,101.2735826
DHARMASRAYA,-1.250643221,101.5193247
PASAMAN BARAT,0.187961627,99.607742
