tweet,bencana
masi rumah nenek aku msh banjir,banjir
gempa lagi astaghfirullah,gempa
alhamdulillah sampai rumah setelah melewati kehujanan di tengah hutan ga ada penduduk jln licin tanah longsor,longsor
banser nu evakuasi korban banjir jabodetabek,lainnya
kelantan dan terengganu dah banjir,banjir
gempa di cianjur malam ini warga dinding rumah bergetar keras,gempa
ada longsor jadinya di tunda gaada susah cari tiket sekarang gaada yang pagi,longsor
surabaya banjir vespa broo,lainnya
depan rumah dah banjir huhu,banjir
astagfirullah gempa lg asli masih gemeter badan,gempa
gawat cuy ada longsor tebing meter di sukajadi bandung,longsor
beda penanganan banjir anies dan jokowi dprd penggusuran bikin warga marah,lainnya
mantap banjir lagi,banjir
blitar kerasa gempa lagi dong,gempa
mantap longsor menghambat aktifitasku,longsor
ramenya banjir di badung banten jakarta jangan sampai lupa monitor jiawsraya apa kabar nya ya,lainnya
rumah aku banjir,banjir
gempa di lampung selatan lepas tengah malam,gempa
usahakan jgn lewat situ waktu hujan deras tkutnya sewaktu wktu bisa trjadi longsor,longsor
banjir besar melanda jakarta di awal apa yang diperkirakan jadi biang keladinya,lainnya
ayuh main banjir haaha,banjir
kerasa gempa nihh di cianjur mana kasir model gitu,gempa
terpaksa telat karena ada longsor dekat kantor,longsor
pray for kebon pala tanah rendah kampung melayu jatinegara pasca banjir kiriman dari kaliciliwung,lainnya
ini cipinang banjir,banjir
gempa sedetik rasanya kayak di dorong yg di cianjur stay safe semua,gempa
saya dan temen lagi bantu warga terdampak longsor di bandar lampung,longsor
turut prihatian buat semua saudara ku yang terkena dampak banjir tetap semangat ya menjalani hari ke depan,lainnya
pata timu dah mulai banjir ka,banjir
gempa aceh pagi ini,gempa
masing longsor ges,longsor
diterang banjir kelakuan kocak warga disorot media asing,lainnya
banjir selutut orang dewasa,banjir
takut bgt ada gempa lagi,gempa
wah gawat longsor deket rumah gue ni,longsor
ini gmn ga banjir klo karung yg berisi galian tanah malah dibuang ke saluran air,lainnya
hujan juga banjir juga,banjir
dibangunin gempa langsung melek,gempa
gila longsor parah jadi takut ni,longsor
akses pengoperasian terkendala banjir ini spbu pertamina yang hentikan layanan sementara,lainnya
masih banjir,banjir
baru bangun tiba gempa kuat bgt,gempa
longsor setelah pos kawan,longsor
info banjir latumenten dong tuips emang setinggi apa sih mau ke pluit bingung euy naik apa,lainnya
banjir dah gais,banjir
eh ini malang gempa lagi,gempa
hadeh longsor menghambat prekonomian,longsor
menurut saya penyebab utama banjir adalah karena ujaaaan,lainnya
hujan lebat gais banjir disini huhu,banjir
gempa lagi di malang,gempa
sudah dipasang gedek tanggul sungai konto di jombang masih longsor,longsor
banjir prestasi pasti banjir pujian gabaner banjir makian,lainnya
banjir woi hujan tak berhenti dari semalam,banjir
barusan kerasa gempa lagi daerah kepanjen kab malang alhamdullah cm sebentar,gempa
sedihh rasanya mau nugas ke rmh temen eh ada longsor gajadi deh,longsor
biarin mereka banjir mt gabakal keliatan undur undur remahan ini,lainnya
kampung aku dah banjir,banjir
sumpah malang gempa lagi barusan,gempa
waktu dari majalengka mau ke cikijing ada longsor,longsor
untung gw tinggal di sudut desa aman dr banjir sebab gada sampah softex,lainnya
banjir karena hujan deres kagak berhenti berhenti,banjir
kaget bangun tidur ada gempa bumi lumayan kuat dari kajoran magelang,gempa
gara ada longsor menyita waktuku dijalan,longsor
mohon infonya apakah benar di tol km cipali terjadi banjir terima kaaih,lainnya
banjir sudah,banjir
bangun kok goyang ternyata emg gempa lg,gempa
longsor ituu astagaa,longsor
banjir bandang lumpuhkan jalan ngamprah kab bandung barat,lainnya
rumah dah banjir geng,banjir
gempa woy ya allah kaget,gempa
longsor lagi geng,longsor
beruntung nggak ada kiriman banjir jadi bisa pulang tepat waktu,lainnya
banjir dah gang nih,banjir
gempa lagi jd kebangun,gempa
ya allah hari malam perjalanan mulai dari salah keberangkatan bus ditambah lagi longsor di atas gunung pdhal normalnya cma hari malam,longsor
banjir terjang sebagian wilayah di solok selatan transportasi lumpuh,lainnya
banjir datang lagi,banjir
blitar barusan terasa gempa,gempa
sedetik kemudian longsor secepet itu guys,longsor
jakarta garden city serahkan sodetan ke kanal banjir timur ke pemprov dki,lainnya
alhamdulillah bantuan banjir dah ada,banjir
ya allah malang gempa lagi pagi ini x,gempa
longsor ya hujan deras juga berarti,longsor
masih ngungsi korban banjir di bekasi tagih janji jokowi,lainnya
lagi musim hujan dan sekarang banjir,banjir
asli gempa lagi,gempa
ambon sekali kena musibah lgsg sekota ambon longsor ke arah bandara akses keluar masuk kota ambon bener ketutup,longsor
tol terendam banjir pengelola diminta ganti rugi kenaikan tarif ditinjau,lainnya
malang banjir,banjir
di blitar juga gempa susulan lagi,gempa
ciregol longsor update pak,longsor
