Kota,Kecamatan,Latitude,Longitude
SIMEULUE,TEUPAH SELATAN,2.273882745,96.5130627
SIMEULUE,SIMEULUE TIMUR,2.53824713,96.31621596
SIMEULUE,TEUPAH BARAT,2.448328779,96.22035258
SIMEULUE,TEUPAH TENGAH,2.407087035,96.34635122
SIMEULUE,SIMEULUE TENGAH,2.626055876,96.0486263
SIMEULUE,TELUK DALAM,2.647829204,96.15312537
SIMEULUE,SIMEULUE CUT,2.604791605,95.93408192
SIMEULUE,SALANG,2.672865411,95.85403568
SIMEULUE,SIMEULUE BARAT,2.794634398,95.9532815
SIMEULUE,ALAFAN,2.861217849,95.60288288
ACEH SINGKIL,PULAU BANYAK,2.260323534,97.37539039
ACEH SINGKIL,PULAU BANYAK BARAT,2.157877302,97.23497628
ACEH SINGKIL,SINGKIL,2.335287723,97.80444989
ACEH SINGKIL,SINGKIL UTARA,2.244866983,98.00607268
ACEH SINGKIL,KUALA BARU,2.361456329,97.67341996
ACEH SINGKIL,SIMPANG KANAN,2.407921174,98.03709279
ACEH SINGKIL,GUNUNG MERIAH,2.394049407,97.96413636
ACEH SINGKIL,DANAU PARIS,2.312787132,98.11252065
ACEH SINGKIL,SURO,2.530352222,98.0242711
ACEH SINGKIL,SINGKOHOR,2.500132334,97.94089522
ACEH SINGKIL,KOTA BAHARU,2.462843912,97.85888822
ACEH SELATAN,TRUMON,2.638075327,97.70847157
ACEH SELATAN,TRUMON TIMUR,2.883536651,97.81065261
ACEH SELATAN,TRUMON TENGAH,2.894226612,97.65923957
ACEH SELATAN,BAKONGAN,2.96102741,97.45607624
ACEH SELATAN,BAKONGAN TIMUR,2.911147027,97.55568472
ACEH SELATAN,KOTA BAHAGIA,3.022173316,97.55284702
ACEH SELATAN,KLUET SELATAN,3.029422416,97.43432524
ACEH SELATAN,KLUET TIMUR,3.23056178,97.45921934
ACEH SELATAN,KLUET UTARA,3.128794375,97.34560863
ACEH SELATAN,PASIE RAJA,3.229776045,97.30675955
ACEH SELATAN,KLUET TENGAH,3.403520745,97.35901124
ACEH SELATAN,TAPAK TUAN,3.288086616,97.2149272
ACEH SELATAN,SAMA DUA,3.355183617,97.19574313
ACEH SELATAN,SAWANG,3.435109422,97.16969466
ACEH SELATAN,MEUKEK,3.579311703,97.1631822
ACEH SELATAN,LABUHAN HAJI,3.637158343,97.06563457
ACEH SELATAN,LABUHAN HAJI TIMUR,3.618736702,97.0817451
ACEH SELATAN,LABUHAN HAJI BARAT,3.650987515,97.046927
ACEH TENGGARA,LAWE ALAS,3.440321375,97.81972162
ACEH TENGGARA,BABUL RAHMAH,3.148428026,97.79003462
ACEH TENGGARA,TANOH ALAS,3.222377724,97.66625975
ACEH TENGGARA,LAWE SIGALA-GALA,3.346376489,97.94369628
ACEH TENGGARA,BABUL MAKMUR,3.315212105,97.9663956
ACEH TENGGARA,SEMADAM,3.391866498,97.87937097
ACEH TENGGARA,LEUSER,3.152056598,97.92226487
ACEH TENGGARA,BAMBEL,3.44888718,97.89007998
ACEH TENGGARA,BUKIT TUSAM,3.413503912,97.86886432
ACEH TENGGARA,LAWE SUMUR,3.475110367,97.89240114
ACEH TENGGARA,BABUSSALAM,3.486739246,97.80742741
ACEH TENGGARA,LAWE BULAN,3.50256426,97.86718044
ACEH TENGGARA,BADAR,3.596824271,97.81727551
ACEH TENGGARA,DARUL HASANAH,3.493857526,97.50354148
ACEH TENGGARA,KETAMBE,3.656720547,97.72365411
ACEH TENGGARA,DELENG POKHKISEN,3.53267218,97.85832367
ACEH TIMUR,SERBA JADI,4.458711322,97.46888821
ACEH TIMUR,SIMPANG JERNIH,4.373987062,97.69466504
ACEH TIMUR,PEUNARON,4.620915133,97.65334539
ACEH TIMUR,BIREM BAYEUN,4.485185531,97.88633312
ACEH TIMUR,RANTAU SELAMAT,4.606399871,97.84615209
ACEH TIMUR,SUNGAI RAYA,4.672127621,97.87927028
ACEH TIMUR,PEUREULAK,4.779262368,97.84880587
ACEH TIMUR,PEUREULAK TIMUR,4.721886622,97.886407
ACEH TIMUR,PEUREULAK BARAT,4.852584121,97.85443037
ACEH TIMUR,RANTO PEUREULAK,4.756554436,97.71340267
ACEH TIMUR,IDI RAYEUK,4.954855161,97.76151006
ACEH TIMUR,PEUDAWA,4.888412342,97.81509136
ACEH TIMUR,BANDA ALAM,4.864609678,97.6922141
ACEH TIMUR,IDI TUNONG,4.908961122,97.71979932
ACEH TIMUR,DARUL IHSAN,4.906044511,97.76058574
ACEH TIMUR,IDI TIMUR,4.911057871,97.7963434
ACEH TIMUR,DARUL AMAN,4.966071827,97.70748936
ACEH TIMUR,NURUSSALAM,4.969708435,97.66480595
ACEH TIMUR,DARUL FALAH,5.012961116,97.64358656
ACEH TIMUR,JULOK,5.038568623,97.60038965
ACEH TIMUR,INDRA MAKMUR,4.861722272,97.5890314
ACEH TIMUR,PANTE BIDARI,4.921941928,97.4454906
ACEH TIMUR,SIMPANG ULIM,5.113805,97.57995558
ACEH TIMUR,MADAT,5.171328388,97.51809502
ACEH TENGAH,LINGE,4.362873863,97.07362097
ACEH TENGAH,ATU LINTANG,4.437655137,96.78033006
ACEH TENGAH,JAGONG JEGET,4.375957876,96.72364218
ACEH TENGAH,BINTANG,4.549314572,97.13570437
ACEH TENGAH,LUT TAWAR,4.58204378,96.88095656
ACEH TENGAH,KEBAYAKAN,4.659204845,96.86952394
